search_query,arxiv_id,arxiv_id_base,title,authors,published,updated,year,primary_category,categories,summary,comment,journal_ref,doi,abs_url,pdf_url,legacy_notebook_query,relevance_score,topic_class
"all:""quantum circuit"" AND all:""diffusion model""",2506.21015,2506.21015,MediQ-GAN: Quantum-Inspired GAN for High Resolution Medical Image Generation,"Qingyue Jiao, Yongcan Tang, Jun Zhuang, Jason Cong, Yiyu Shi",2025-06-26T05:14:45Z,2025-11-03T21:45:49Z,2025,cs.CV,"cs.CV, cs.LG, quant-ph","Machine learning-assisted diagnosis shows promise, yet medical imaging datasets are often scarce, imbalanced, and constrained by privacy, making data augmentation essential. Classical generative models typically demand extensive computational and sample resources. Quantum computing offers a promising alternative, but existing quantum-based image generation methods remain limited in scale and often face barren plateaus. We present MediQ-GAN, a quantum-inspired GAN with prototype-guided skip connections and a dual-stream generator that fuses classical and quantum-inspired branches. Its variational quantum circuits inherently preserve full-rank mappings, avoid rank collapse, and are theory-guided to balance expressivity with trainability. Beyond generation quality, we provide the first latent-geometry and rank-based analysis of quantum-inspired GANs, offering theoretical insight into their performance. Across three medical imaging datasets, MediQ-GAN outperforms state-of-the-art GANs and diffusion models. While validated on IBM hardware for robustness, our contribution is hardware-agnostic, offering a scalable and data-efficient framework for medical image generation and augmentation.",,,,https://arxiv.org/abs/2506.21015v2,https://arxiv.org/pdf/2506.21015v2,"all:""quantum circuit"" AND all:""diffusion model""",22,quantum circuit / QNN generative model
"all:""quantum diffusion model""",2506.19270,2506.19270,Continuous-variable Quantum Diffusion Model for State Generation and Restoration,"Haitao Huang, Chuangtao Chen, Qinglin Zhao",2025-06-24T03:04:21Z,2025-06-24T03:04:21Z,2025,quant-ph,"quant-ph, cs.LG","The generation and preservation of complex quantum states against environmental noise are paramount challenges in advancing continuous-variable (CV) quantum information processing. This paper introduces a novel framework based on continuous-variable quantum diffusion principles, synergizing them with CV quantum neural networks (CVQNNs) to address these dual challenges. For the task of state generation, our Continuous-Variable Quantum Diffusion Generative model (CVQD-G) employs a physically driven forward diffusion process using a thermal loss channel, which is then inverted by a learnable, parameter-efficient backward denoising process based on a CVQNN with time-embedding. This framework's capability is further extended for state recovery by the Continuous-Variable Quantum Diffusion Restoration model (CVQD-R), a specialized variant designed to restore quantum states, particularly coherent states with unknown parameters, from thermal degradation. Extensive numerical simulations validate these dual capabilities, demonstrating the high-fidelity generation of diverse Gaussian (coherent, squeezed) and non-Gaussian (Fock, cat) states, typically with fidelities exceeding 99%, and confirming the model's ability to robustly restore corrupted states. Furthermore, a comprehensive complexity analysis reveals favorable training and inference costs, highlighting the framework's efficiency, scalability, and its potential as a robust tool for quantum state engineering and noise mitigation in realistic CV quantum systems.",,,,https://arxiv.org/abs/2506.19270v1,https://arxiv.org/pdf/2506.19270v1,"all:""quantum diffusion model""",20,quantum circuit / QNN generative model
"all:""quantum diffusion model""",2506.15331,2506.15331,"Naive parton picture for kaon color transparency in $A(e,e'K^+)$","Kook-Jin Kong, Tae Keun Choi, Byung-Geel Yu",2025-06-18T10:11:08Z,2026-05-06T07:56:12Z,2025,nucl-th,"nucl-th, hep-ph","Nuclear transparency in the electronuclear reaction $A(e,e'K^+)$ is investigated in parallel with our previous study of pion transparency in Phys.\ Rev.\ C {\bf 111}, 064608 (2025). Based on an extended Glauber framework that incorporates shadowing from the initial-state two-step process, kaon color transparency (CT) is analyzed to show that the steeper $Q^2$ dependence observed for kaon CT, compared with the pion case, is more naturally described by the naive parton model (NPM) than by the quantum diffusion model (QDM). The inclusion of initial-state shadowing further reduces the transparency and improves the agreement with the experimental data. The $Q^2$ and $A$ dependences of the kaon transparency are presented up to $Q^2=10$~GeV$^2/c^2$, together with the corresponding $α(Q^2)$ and the supplementary ratio $T_A/T_C$, for comparison with the Jefferson Lab (JLab) data obtained with the 6-GeV electron beam on $^{12}$C, $^{63}$Cu, and $^{197}$Au nuclei.",,"Chin. Phys. C 50, 084106 (2026)",10.1088/1674-1137/ae6b20,https://arxiv.org/abs/2506.15331v4,https://arxiv.org/pdf/2506.15331v4,"all:""quantum diffusion model""",12,other / needs manual check
"all:""quantum generative model"" AND all:""diffusion""",2506.10571,2506.10571,A purely Quantum Generative Modeling through Unitary Scrambling and Collapse,"Yihua Li, Jiayi Chen, Tamanna S. Kumavat, Kyriakos Flouris",2025-06-12T11:00:21Z,2025-10-03T12:50:19Z,2025,quant-ph,quant-ph,"Quantum computing offers fundamentally more expressive mechanisms for generative modeling, yet current approaches remain constrained by classical neural components that bottleneck quantum capability and hardware efficiency. We propose the Quantum Scrambling and Collapse Generative Model (QGen), a purely quantum paradigm that eliminates classical dependencies. QGen implements two coherent processes: scrambling, which interleaves Gaussian diffusion channels with unitary delocalization to disperse information globally while avoiding collapse into uninformative states; and collapse, where parameterized quantum circuits refocus scrambled distributions into structured outputs, achieving distributional reconstruction under coherent evolution. To enable scalability, we introduce a measurement-based training principle that decomposes learning into tractable subproblems, mitigating barren plateaus. Empirically, QGen outperforms classical and hybrid baselines under matched parameter budget, while maintaining robustness under finite-shot sampling, demonstrating strong feasibility for near-term hardware.",,,,https://arxiv.org/abs/2506.10571v2,https://arxiv.org/pdf/2506.10571v2,"all:""quantum generative model"" AND all:""diffusion""",19,quantum circuit / QNN generative model
"all:""quantum circuit"" AND all:""diffusion model""",2506.01666,2506.01666,Synthesis of discrete-continuous quantum circuits with multimodal diffusion models,"Florian Fürrutter, Zohim Chandani, Ikko Hamamura, Hans J. Briegel, Gorka Muñoz-Gil",2025-06-02T13:35:33Z,2026-04-07T13:07:51Z,2025,quant-ph,"quant-ph, cs.AI, cs.LG","Efficiently compiling quantum operations remains a major bottleneck in scaling quantum computing. Today's state-of-the-art methods achieve low compilation error by combining search algorithms with gradient-based parameter optimization, but they incur long runtimes and require multiple calls to quantum hardware or expensive classical simulations, making their scaling prohibitive. Recently, machine-learning models have emerged as an alternative, though they are currently restricted to discrete gate sets. Here, we introduce a multimodal denoising diffusion model that simultaneously generates a circuit's structure and its continuous parameters for compiling a target unitary. It leverages two independent diffusion processes, one for discrete gate selection and one for parameter prediction. We benchmark the model over different experiments, analyzing the method's accuracy across varying qubit counts and circuit depths, showcasing the ability of the method to outperform existing approaches in gate counts and under noisy conditions. Additionally, we show that a simple post-optimization scheme allows us to significantly improve the generated ansätze. Finally, by exploiting its rapid circuit generation, we create large datasets of circuits for particular operations and use these to extract valuable heuristics that can help us discover new insights into quantum circuit synthesis.",,Machine Learning: Science and Technology 7.2 (2026),10.1088/2632-2153/ae5b21,https://arxiv.org/abs/2506.01666v3,https://arxiv.org/pdf/2506.01666v3,"all:""quantum circuit"" AND all:""diffusion model""",22,DDPM / denoising diffusion
"all:""quantum diffusion model""",2505.22193,2505.22193,Physics-inspired Generative AI models via real hardware-based noisy quantum diffusion,"Marco Parigi, Stefano Martina, Francesco Aldo Venturelli, Filippo Caruso",2025-05-28T10:11:48Z,2025-05-28T10:11:48Z,2025,quant-ph,"quant-ph, cond-mat.dis-nn, cs.AI, cs.CV, cs.LG","Quantum Diffusion Models (QDMs) are an emerging paradigm in Generative AI that aims to use quantum properties to improve the performances of their classical counterparts. However, existing algorithms are not easily scalable due to the limitations of near-term quantum devices. Following our previous work on QDMs, here we propose and implement two physics-inspired protocols. In the first, we use the formalism of quantum stochastic walks, showing that a specific interplay of quantum and classical dynamics in the forward process produces statistically more robust models generating sets of MNIST images with lower Fréchet Inception Distance (FID) than using totally classical dynamics. In the second approach, we realize an algorithm to generate images by exploiting the intrinsic noise of real IBM quantum hardware with only four qubits. Our work could be a starting point to pave the way for new scenarios for large-scale algorithms in quantum Generative AI, where quantum noise is neither mitigated nor corrected, but instead exploited as a useful resource.",,,,https://arxiv.org/abs/2505.22193v1,https://arxiv.org/pdf/2505.22193v1,"all:""quantum diffusion model""",18,quantum generative model
"all:""quantum circuit"" AND all:""diffusion model""",2505.20863,2505.20863,Leveraging Diffusion Models for Parameterized Quantum Circuit Generation,"Daniel Barta, Darya Martyniuk, Johannes Jung, Adrian Paschke",2025-05-27T08:14:58Z,2025-07-23T13:04:46Z,2025,quant-ph,"quant-ph, cs.LG","Quantum computing holds immense potential, yet its practical success depends on multiple factors, including advances in quantum circuit design. In this paper, we introduce a generative approach based on denoising diffusion models (DMs) to synthesize parameterized quantum circuits (PQCs). Extending the recent diffusion model pipeline of Fürrutter et al. [1], our model effectively conditions the synthesis process, enabling the simultaneous generation of circuit architectures and their continuous gate parameters. We demonstrate our approach in synthesizing PQCs optimized for generating high-fidelity Greenberger-Horne-Zeilinger (GHZ) states and achieving high accuracy in quantum machine learning (QML) classification tasks. Our results indicate a strong generalization across varying gate sets and scaling qubit counts, highlighting the versatility and computational efficiency of diffusion-based methods. This work illustrates the potential of generative models as a powerful tool for accelerating and optimizing the design of PQCs, supporting the development of more practical and scalable quantum applications.",,,,https://arxiv.org/abs/2505.20863v3,https://arxiv.org/pdf/2505.20863v3,"all:""quantum circuit"" AND all:""diffusion model""",30,DDPM / denoising diffusion
"all:""quantum circuit"" AND all:""diffusion model""",2505.05151,2505.05151,Overcoming Dimensional Factorization Limits in Discrete Diffusion Models through Quantum Joint Distribution Learning,"Chuangtao Chen, Qinglin Zhao, MengChu Zhou, Dusit Niyato, Zhimin He, Haozhen Situ",2025-05-08T11:48:21Z,2025-06-29T15:35:22Z,2025,quant-ph,"quant-ph, cs.LG","Discrete diffusion models represent a significant advance in generative modeling, demonstrating remarkable success in synthesizing complex, high-quality discrete data. However, to avoid exponential computational costs, they typically rely on calculating per-dimension transition probabilities when learning high-dimensional distributions. In this study, we rigorously prove that this approach leads to a worst-case linear scaling of Kullback-Leibler (KL) divergence with data dimension. To address this, we propose a Quantum Discrete Denoising Diffusion Probabilistic Model (QD3PM), which enables joint probability learning through diffusion and denoising in exponentially large Hilbert spaces, offering a theoretical pathway to faithfully capture the true joint distribution. By deriving posterior states through quantum Bayes' theorem, similar to the crucial role of posterior probabilities in classical diffusion models, and by learning the joint probability, we establish a solid theoretical foundation for quantum-enhanced diffusion models. For denoising, we design a quantum circuit that utilizes temporal information for parameter sharing and incorporates learnable classical-data-controlled rotations for encoding. Exploiting joint distribution learning, our approach enables single-step sampling from pure noise, eliminating iterative requirements of existing models. Simulations demonstrate the proposed model's superior accuracy in modeling complex distributions compared to factorization methods. Hence, this paper establishes a new theoretical paradigm in generative models by leveraging the quantum advantage in joint distribution learning.",,,,https://arxiv.org/abs/2505.05151v3,https://arxiv.org/pdf/2505.05151v3,"all:""quantum circuit"" AND all:""diffusion model""",34,DDPM / denoising diffusion
"all:""quantum generative model"" AND all:""diffusion""",2504.00034,2504.00034,Quantum Generative Models for Image Generation: Insights from MNIST and MedMNIST,"Chi-Sheng Chen, Wei An Hou, Hsiang-Wei Hu, Zhen-Sheng Cai",2025-03-30T06:36:22Z,2025-04-03T17:40:26Z,2025,quant-ph,"quant-ph, cs.LG","Quantum generative models offer a promising new direction in machine learning by leveraging quantum circuits to enhance data generation capabilities. In this study, we propose a hybrid quantum-classical image generation framework that integrates variational quantum circuits into a diffusion-based model. To improve training dynamics and generation quality, we introduce two novel noise strategies: intrinsic quantum-generated noise and a tailored noise scheduling mechanism. Our method is built upon a lightweight U-Net architecture, with the quantum layer embedded in the bottleneck module to isolate its effect. We evaluate our model on MNIST and MedMNIST datasets to examine its feasibility and performance. Notably, our results reveal that under limited data conditions (fewer than 100 training images), the quantum-enhanced model generates images with higher perceptual quality and distributional similarity than its classical counterpart using the same architecture. While the quantum model shows advantages on grayscale data such as MNIST, its performance is more nuanced on complex, color-rich datasets like PathMNIST. These findings highlight both the potential and current limitations of quantum generative models and lay the groundwork for future developments in low-resource and biomedical image generation.",,,,https://arxiv.org/abs/2504.00034v2,https://arxiv.org/pdf/2504.00034v2,"all:""quantum generative model"" AND all:""diffusion""",22,quantum circuit / QNN generative model
"all:""quantum circuit"" AND all:""diffusion model""",2503.02345,2503.02345,CQ CNN: A Hybrid Classical Quantum Convolutional Neural Network for Alzheimer's Disease Detection Using Diffusion Generated and U Net Segmented 3D MRI,"Mominul Islam, Mohammad Junayed Hasan, M. R. C. Mahdy",2025-03-04T07:08:47Z,2025-03-04T07:08:47Z,2025,quant-ph,"quant-ph, cs.AI, cs.CV, cs.LG","The detection of Alzheimer disease (AD) from clinical MRI data is an active area of research in medical imaging. Recent advances in quantum computing, particularly the integration of parameterized quantum circuits (PQCs) with classical machine learning architectures, offer new opportunities to develop models that may outperform traditional methods. However, quantum machine learning (QML) remains in its early stages and requires further experimental analysis to better understand its behavior and limitations. In this paper, we propose an end to end hybrid classical quantum convolutional neural network (CQ CNN) for AD detection using clinically formatted 3D MRI data. Our approach involves developing a framework to make 3D MRI data usable for machine learning, designing and training a brain tissue segmentation model (Skull Net), and training a diffusion model to generate synthetic images for the minority class. Our converged models exhibit potential quantum advantages, achieving higher accuracy in fewer epochs than classical models. The proposed beta8 3 qubit model achieves an accuracy of 97.50%, surpassing state of the art (SOTA) models while requiring significantly fewer computational resources. In particular, the architecture employs only 13K parameters (0.48 MB), reducing the parameter count by more than 99.99% compared to current SOTA models. Furthermore, the diffusion-generated data used to train our quantum models, in conjunction with real samples, preserve clinical structural standards, representing a notable first in the field of QML. We conclude that CQCNN architecture like models, with further improvements in gradient optimization techniques, could become a viable option and even a potential alternative to classical models for AD detection, especially in data limited and resource constrained clinical settings.",,,,https://arxiv.org/abs/2503.02345v1,https://arxiv.org/pdf/2503.02345v1,"all:""quantum circuit"" AND all:""diffusion model""",19,quantum circuit / QNN generative model
"all:""quantum circuit"" AND all:""diffusion model""",2501.16380,2501.16380,UDiTQC: U-Net-Style Diffusion Transformer for Quantum Circuit Synthesis,"Zhiwei Chen, Hao Tang",2025-01-24T15:15:50Z,2025-01-24T15:15:50Z,2025,cs.LG,"cs.LG, cs.AI, quant-ph","Quantum computing is a transformative technology with wide-ranging applications, and efficient quantum circuit generation is crucial for unlocking its full potential. Current diffusion model approaches based on U-Net architectures, while promising, encounter challenges related to computational efficiency and modeling global context. To address these issues, we propose UDiT,a novel U-Net-style Diffusion Transformer architecture, which combines U-Net's strengths in multi-scale feature extraction with the Transformer's ability to model global context. We demonstrate the framework's effectiveness on two tasks: entanglement generation and unitary compilation, where UDiTQC consistently outperforms existing methods. Additionally, our framework supports tasks such as masking and editing circuits to meet specific physical property requirements. This dual advancement, improving quantum circuit synthesis and refining generative model architectures, marks a significant milestone in the convergence of quantum computing and machine learning research.",,,,https://arxiv.org/abs/2501.16380v1,https://arxiv.org/pdf/2501.16380v1,"all:""quantum circuit"" AND all:""diffusion model""",19,quantum circuit / QNN generative model
"all:""quantum diffusion model""",2501.11174,2501.11174,Quantum Latent Diffusion Models,"Francesca De Falco, Andrea Ceschini, Alessandro Sebastianelli, Bertrand Le Saux, Massimo Panella",2025-01-19T21:24:02Z,2025-01-19T21:24:02Z,2025,quant-ph,quant-ph,"The introduction of quantum concepts is increasingly making its way into generative machine learning models. However, while there are various implementations of quantum Generative Adversarial Networks, the integration of quantum elements into diffusion models remains an open and challenging task. In this work, we propose a potential version of a quantum diffusion model that leverages the established idea of classical latent diffusion models. This involves using a traditional autoencoder to reduce images, followed by operations with variational circuits in the latent space. To effectively assess the benefits brought by quantum computing, the images generated by the quantum latent diffusion model have been compared to those generated by a classical model with a similar number of parameters, evaluated in terms of quantitative metrics. The results demonstrate an advantage in using a quantum version, as evidenced by obtaining better metrics for the images generated by the quantum version compared to those obtained by the classical version. Furthermore, quantum models continue to outperform even when considering small percentages of the dataset for training, demonstrating the quantum's ability to extract features more effectively even in a few shot learning scenario.",,"Quantum Machine Intelligence, Vol. 6, No. 2, Article No. 85, pp. 1-20, ISSN: 2524-4906, Springer Nature, Switzerland, December 2024",10.1007/s42484-024-00224-6,https://arxiv.org/abs/2501.11174v1,https://arxiv.org/pdf/2501.11174v1,"all:""quantum diffusion model""",18,quantum generative model
"all:""quantum circuit"" AND all:""diffusion model""",2501.05666,2501.05666,Diffusion-Enhanced Optimization of Variational Quantum Eigensolver for General Hamiltonians,"Shikun Zhang, Zheng Qin, Yongyou Zhang, Yang Zhou, Rui Li, Chunxiao Du, Zhisong Xiao",2025-01-10T02:32:46Z,2025-01-10T02:32:46Z,2025,quant-ph,quant-ph,"Variational quantum algorithms (VQAs) have emerged as a promising approach for achieving quantum advantage on current noisy intermediate-scale quantum devices. However, their large-scale applications are significantly hindered by optimization challenges, such as the barren plateau (BP) phenomenon, local minima, and numerous iteration demands. In this work, we leverage denoising diffusion models (DMs) to address these difficulties. The DM is trained on a few data points in the Heisenberg model parameter space and then can be guided to generate high-performance parameters for parameterized quantum circuits (PQCs) in variational quantum eigensolver (VQE) tasks for general Hamiltonians. Numerical experiments demonstrate that DM-parameterized VQE can explore the ground-state energies of Heisenberg models with parameters not included in the training dataset. Even when applied to previously unseen Hamiltonians, such as the Ising and Hubbard models, it can generate the appropriate initial state to achieve rapid convergence and mitigate the BP and local minima problems. These results highlight the effectiveness of our proposed method in improving optimization efficiency for general Hamiltonians.",,"Advanced Quantum Technologies 9, e00766 (2026)",,https://arxiv.org/abs/2501.05666v1,https://arxiv.org/pdf/2501.05666v1,"all:""quantum circuit"" AND all:""diffusion model""",25,DDPM / denoising diffusion
"all:""quantum diffusion model""",2412.21082,2412.21082,Quantum Diffusion Model for Quark and Gluon Jet Generation,"Mariia Baidachna, Rey Guadarrama, Gopal Ramesh Dahale, Tom Magorsch, Isabel Pedraza, Konstantin T. Matchev, Katia Matcheva, Kyoungchul Kong, Sergei Gleyzer",2024-12-30T17:00:54Z,2024-12-30T17:00:54Z,2024,quant-ph,"quant-ph, cs.LG, hep-ph","Diffusion models have demonstrated remarkable success in image generation, but they are computationally intensive and time-consuming to train. In this paper, we introduce a novel diffusion model that benefits from quantum computing techniques in order to mitigate computational challenges and enhance generative performance within high energy physics data. The fully quantum diffusion model replaces Gaussian noise with random unitary matrices in the forward process and incorporates a variational quantum circuit within the U-Net in the denoising architecture. We run evaluations on the structurally complex quark and gluon jets dataset from the Large Hadron Collider. The results demonstrate that the fully quantum and hybrid models are competitive with a similar classical model for jet generation, highlighting the potential of using quantum techniques for machine learning problems.",,,,https://arxiv.org/abs/2412.21082v1,https://arxiv.org/pdf/2412.21082v1,"all:""quantum diffusion model""",18,quantum circuit / QNN generative model
"all:""quantum denoising diffusion""",2411.17608,2411.17608,Mixed-State Quantum Denoising Diffusion Probabilistic Model,"Gino Kwun, Bingzhi Zhang, Quntao Zhuang",2024-11-26T17:20:58Z,2025-03-04T05:15:50Z,2024,quant-ph,"quant-ph, cs.AI, cs.LG","Generative quantum machine learning has gained significant attention for its ability to produce quantum states with desired distributions. Among various quantum generative models, quantum denoising diffusion probabilistic models (QuDDPMs) [Phys. Rev. Lett. 132, 100602 (2024)] provide a promising approach with stepwise learning that resolves the training issues. However, the requirement of high-fidelity scrambling unitaries in QuDDPM poses a challenge in near-term implementation. We propose the \textit{mixed-state quantum denoising diffusion probabilistic model} (MSQuDDPM) to eliminate the need for scrambling unitaries. Our approach focuses on adapting the quantum noise channels to the model architecture, which integrates depolarizing noise channels in the forward diffusion process and parameterized quantum circuits with projective measurements in the backward denoising steps. We also introduce several techniques to improve MSQuDDPM, including a cosine-exponent schedule of noise interpolation, the use of single-qubit random ancilla, and superfidelity-based cost functions to enhance the convergence. We evaluate MSQuDDPM on quantum ensemble generation tasks, demonstrating its successful performance.",,,,https://arxiv.org/abs/2411.17608v2,https://arxiv.org/pdf/2411.17608v2,"all:""quantum denoising diffusion""",38,DDPM / denoising diffusion
"all:""quantum diffusion model""",2411.15973,2411.15973,Enhancing Quantum Diffusion Models with Pairwise Bell State Entanglement,"Shivalee Shah, Mayank Vatsa",2024-11-24T20:14:57Z,2024-11-24T20:14:57Z,2024,quant-ph,quant-ph,"This paper introduces a novel quantum diffusion model designed for Noisy Intermediate-Scale Quantum (NISQ) devices. Unlike previous methods, this model efficiently processes higher-dimensional images with complex pixel structures, even on qubit-limited platforms. This is accomplished through a pairwise Bell-state entangling technique, which reduces space complexity. Additionally, parameterized quantum circuits enable the generation of quantum states with minimal parameters, while still delivering high performance. We conduct comprehensive experiments, comparing the proposed model with both classical and quantum techniques using datasets such as MNIST and CIFAR-10. The results show significant improvements in computational efficiency and performance metrics such as FID, SSIM and PSNR. By leveraging quantum entanglement and superposition, this approach advances quantum generative learning. This advancement paves the way for more sophisticated and resource-efficient quantum diffusion algorithms capable of handling complex data on the NISQ devices.",,,,https://arxiv.org/abs/2411.15973v1,https://arxiv.org/pdf/2411.15973v1,"all:""quantum diffusion model""",21,quantum circuit / QNN generative model
"all:""quantum diffusion model""",2411.04217,2411.04217,Quantum Diffusion Models for Few-Shot Learning,"Ruhan Wang, Ye Wang, Jing Liu, Toshiaki Koike-Akino",2024-11-06T19:25:06Z,2024-11-06T19:25:06Z,2024,cs.LG,"cs.LG, cs.AI","Modern quantum machine learning (QML) methods involve the variational optimization of parameterized quantum circuits on training datasets, followed by predictions on testing datasets. Most state-of-the-art QML algorithms currently lack practical advantages due to their limited learning capabilities, especially in few-shot learning tasks. In this work, we propose three new frameworks employing quantum diffusion model (QDM) as a solution for the few-shot learning: label-guided generation inference (LGGI); label-guided denoising inference (LGDI); and label-guided noise addition inference (LGNAI). Experimental results demonstrate that our proposed algorithms significantly outperform existing methods.",,,,https://arxiv.org/abs/2411.04217v1,https://arxiv.org/pdf/2411.04217v1,"all:""quantum diffusion model""",19,quantum circuit / QNN generative model
"all:""quantum diffusion model""",2409.05129,2409.05129,"Nuclear transparency and shadowing of the two-step process in the $A(e,e'π^+)$ reaction","Tae Keun Choi, Kook-Jin Kong, Byung-Geel Yu",2024-09-08T15:18:42Z,2025-06-09T16:52:28Z,2024,nucl-th,"nucl-th, hep-ph","We investigate nuclear transparency induced by pion electroproduction on nuclei, $A(e,e'π^+)$, with our interest in the role of the two-step process in the Glauber multiple scattering theory. Based on the framework in which the quantum diffusion model is incorporated into the Glauber theory, the experimental data in the range of photon virtuality $0.5< Q^2< 10$ GeV$^2/c^2$ are analyzed, including the recent JLab data at the 6 GeV electron beam together with the proposal for the 12 GeV upgrade. Application of the quantum diffusion model during the formation length of the quark/antiquark $(q\bar{q})$ structure of a pion reproduces the increase in the nuclear transparency up to high $Q^2$, showing evidence of color transparency. In contrast, through the coherent length of the $γ^*$ fluctuation into $ρ^0$, the two-step process with the $ρN$ scattering cross section chosen to be $σ_{ρN}=σ_{πN}$ contributes to a reduction of the nuclear transparency in the whole range of $Q^2$. Combined with the one-step process (direct photon coupling) usually adopted in the original formulation of the Glauber theory, this reaction mechanism provides another source of the $Q^2$ dependence of the transparency at low virtualities through the shadowing in the initial state interaction. By the further absorption due to the shadowing, a better agreement is obtained with the pion transparency measured in the $A(e,e'π^+)$ reaction for $^{12}$C, $^{27}$Al, $^{63}$Cu, and $^{197}$Au nuclei. A discussion of the $Q^2$ dependence of the parameter $α$ for the transparency $T_A=A^{α-1}$ is given.",,,,https://arxiv.org/abs/2409.05129v7,https://arxiv.org/pdf/2409.05129v7,"all:""quantum diffusion model""",12,other / needs manual check
"all:""quantum"" AND all:""Schrödinger bridge"" AND all:""diffusion""",2407.15245,2407.15245,Weyl Calculus and Exactly Solvable Schrödinger Bridges with Quadratic State Cost,"Alexis M. H. Teter, Wenqing Wang, Abhishek Halder",2024-07-21T19:05:30Z,2024-08-13T01:01:59Z,2024,math.OC,"math.OC, cs.LG, eess.SY, math-ph, stat.ML","Schrödinger bridge--a stochastic dynamical generalization of optimal mass transport--exhibits a learning-control duality. Viewed as a stochastic control problem, the Schrödinger bridge finds an optimal control policy that steers a given joint state statistics to another while minimizing the total control effort subject to controlled diffusion and deadline constraints. Viewed as a stochastic learning problem, the Schrödinger bridge finds the most-likely distribution-valued trajectory connecting endpoint distributional observations, i.e., solves the two point boundary-constrained maximum likelihood problem over the manifold of probability distributions. Recent works have shown that solving the Schrödinger bridge problem with state cost requires finding the Markov kernel associated with a reaction-diffusion PDE where the state cost appears as a state-dependent reaction rate. We explain how ideas from Weyl calculus in quantum mechanics, specifically the Weyl operator and the Weyl symbol, can help determine such Markov kernels. We illustrate these ideas by explicitly finding the Markov kernel for the case of quadratic state cost via Weyl calculus, recovering our earlier results but avoiding tedious computation with Hermite polynomials.",,,,https://arxiv.org/abs/2407.15245v3,https://arxiv.org/pdf/2407.15245v3,"all:""quantum"" AND all:""Schrödinger bridge"" AND all:""diffusion""",10,Schrödinger bridge
"all:""quantum"" AND all:""denoising diffusion probabilistic model""",2407.12242,2407.12242,Conditional Diffusion-based Parameter Generation for Quantum Approximate Optimization Algorithm,"Fanxu Meng, Xiangzhen Zhou, Pengcheng Zhu, Yu Luo",2024-07-17T01:18:27Z,2025-01-18T04:50:50Z,2024,quant-ph,quant-ph,"The Quantum Approximate Optimization Algorithm (QAOA) is a hybrid quantum-classical algorithm that shows promise in efficiently solving the MaxCut problem, a representative example of combinatorial optimization. However, its effectiveness heavily depends on the parameter optimization pipeline, where the parameter initialization strategy is nontrivial due to the non-convex and complex optimization landscapes characterized by issues with low-quality local minima. Recent inspiration comes from the diffusion of classical neural network parameters, which has demonstrated that neural network training can benefit from generating good initial parameters through diffusion models. Therefore, in this work, we formulate the problem of finding good initial parameters as a generative task and propose the initial parameter generation scheme through dataset-conditioned pre-trained parameter sampling. Concretely, the generative machine learning model, specifically the denoising diffusion probabilistic model (DDPM), is trained to learn the distribution of pretrained parameters conditioned on the graph dataset. Intuitively, our proposed framework aims at effectively distilling knowledge from pre-trained parameters to generate well-performing initial parameters for QAOA. Compared to random parameter initialization, experiments on various-sized Max-Cut problem instances consistently show that our conditional DDPM is capable of improving the approximation ratio by as much as 14.4%, 11.0%, 11.4% and 7.49%, 8.31%, 6.08% on average for random, regular, and Watts-Strogatz graphs, respectively. Additionally, the experimental results also indicate that the conditional DDPM trained on small problem instances can be extrapolated to larger ones, improving the approximation ratio by up to 28.4% and 12.1% on average.",,,,https://arxiv.org/abs/2407.12242v4,https://arxiv.org/pdf/2407.12242v4,"all:""quantum"" AND all:""denoising diffusion probabilistic model""",33,DDPM / denoising diffusion
"all:""quantum circuit"" AND all:""diffusion model""",2406.00843,2406.00843,Diffusion-Inspired Quantum Noise Mitigation in Parameterized Quantum Circuits,"Hoang-Quan Nguyen, Xuan Bac Nguyen, Samuel Yen-Chi Chen, Hugh Churchill, Nicholas Borys, Samee U. Khan, Khoa Luu",2024-06-02T19:35:38Z,2025-02-22T22:22:49Z,2024,quant-ph,"quant-ph, cs.LG","Parameterized Quantum Circuits (PQCs) have been acknowledged as a leading strategy to utilize near-term quantum advantages in multiple problems, including machine learning and combinatorial optimization. When applied to specific tasks, the parameters in the quantum circuits are trained to minimize the target function. Although there have been comprehensive studies to improve the performance of the PQCs on practical tasks, the errors caused by the quantum noise downgrade the performance when running on real quantum computers. In particular, when the quantum state is transformed through multiple quantum circuit layers, the effect of the quantum noise happens cumulatively and becomes closer to the maximally mixed state or complete noise. This paper studies the relationship between the quantum noise and the diffusion model. Then, we propose a novel diffusion-inspired learning approach to mitigate the quantum noise in the PQCs and reduce the error for specific tasks. Through our experiments, we illustrate the efficiency of the learning strategy and achieve state-of-the-art performance on classification tasks in the quantum noise scenarios.",,,,https://arxiv.org/abs/2406.00843v3,https://arxiv.org/pdf/2406.00843v3,"all:""quantum circuit"" AND all:""diffusion model""",15,quantum circuit / QNN generative model
